long;lat;id;nombre;anio_de_in;tipo;cantidad;ubicacion;clasificac;calle;altura;calle2;barrio;comuna;codigo_postal;codigo_postal_argentino
-58,43922586;-34,5834771;523;LA BOHÃˆME;2018;1U;2;VIA PUBLICA;COMERCIO AMIGO;GORRITI;5796;;Palermo;Comuna 14;1414;C1414BKH
-58,39912063;-34,62397092;524;ONG Â AVES ARGENTINAS;2018;1U;2;VIA PUBLICA;COMERCIO AMIGO;MATHEU;1246;;San Cristobal;Comuna 3;1249;C1249AAB
-58,42840768;-34,58556596;525;ESPACIO OXIVITAL;2014;1U;2;VIA PUBLICA;COMERCIO AMIGO;NICARAGUA;4959;;Palermo;Comuna 14;1414;C1414BVM
-58,42845225;-34,58392244;526;BAZAR DE LA ESQUINA;2014;1U;1;VIA PUBLICA;COMERCIO AMIGO;FRAY JUSTO SANTAMARIA DE ORO;2013;;Palermo;Comuna 14;1425;C1425FOA
-58,391974;-34,59515261;527;WELLCLUB;2014;1U;2;VIA PUBLICA;COMERCIO AMIGO;RODRIGUEZ PEÃ‘A;1177;;Recoleta;Comuna 2;;
-58,43775399;-34,59609593;528;BIBLIOTECA ALBERDI;2014;1U;2;VIA PUBLICA;EDIFICIOS CULTURALES;ACEVEDO;666;;Villa Crespo;Comuna 15;1414;C1414DJN
-58,45915029;-34,62684708;529;ALIANZA FRANCESA;2014;1U;2;VIA PUBLICA;EDIFICIOS CULTURALES;GRANADEROS;61;;Flores;Comuna 7;1406;C1406BCA
-58,40789857;-34,6016392;530;MUSEO CASA CARLOS GARDEL;2019;1U;2;VIA PUBLICA;Centro Cultural Abasto;JAURES, JEAN;735;;Balvanera;Comuna 3;1215;C1215ACM
-58,43468029;-34,59588736;531;CENTRO STAMBOULIAN;2014;1U;2;VIA PUBLICA;EMPRESA AMIGA;MALABIA;853;;Villa Crespo;Comuna 15;1414;C1414DLQ
-58,39996571;-34,59049341;532;UNIVERSIDAD BARCELO;2014;1U;2;VIA PUBLICA;UNIVERSIDADES;FRENCH;2464;;Recoleta;Comuna 2;1125;C1125AAH
-58,43034032;-34,58458118;533;HOTEL BOUTIQUE;2014;1U;2;VIA PUBLICA;VIA PUBLICA;GODOY CRUZ;2081;;Palermo;Comuna 14;1414;C1414CYQ
-58,45948425;-34,55811269;534;NEW BIKES;2018;1U;6;VIA PUBLICA;COMERCIO AMIGO;MONROE;2364;;Belgrano;Comuna 13;1428;C1428BLL
-58,3898016;-34,59798255;535;SOCIEDAD CENTRAL DE ARQUITECTOS;2014;1U;2;VIA PUBLICA;VIA PUBLICA;MONTEVIDEO;938;;Recoleta;Comuna 2;1019;C1019ABT
-58,43796728;-34,56729921;536;SIN INSTALAR CASA FOA;2014;4U;2;INTERIOR;EDIFICIO CULTURAL;GOROSTIAGA;0;CAMPOS, LUIS M. AV.;Palermo;Comuna 14;;
-58,41497106;-34,57833116;537;ZOO DE BUENOS AIRES;2014;4U;2;INTERIOR;EDIFICIO CULTURAL;REPUBLICA DE LA INDIA;3000;;Palermo;Comuna 14;1425;C1425FCF
-58,41497106;-34,57833116;538;ZOO DE BUENOS AIRES;2014;1U;2;INTERIOR;EDIFICIO CULTURAL;REPUBLICA DE LA INDIA;3000;;Palermo;Comuna 14;1425;C1425FCF
-58,41251027;-34,59207762;539;AMERICAN BIKES;2015;4U;1;VIA PUBLICA;COMERCIO AMIGO;DIAZ, CNEL. AV.;1665;;Recoleta;Comuna 2;1425;C1425DQC
-58,42753899;-34,58839283;540;MARIANA DAPPIANO;2015;1U;1;VIA PUBLICA;COMERCIO AMIGO;GURRUCHAGA;1755;;Palermo;Comuna 14;1414;C1414DII
-58,43162467;-34,58898481;541;MUVIN;2015;4U;1;VIA PUBLICA;COMERCIO AMIGO;GORRITI;5051;;Palermo;Comuna 14;1414;C1414BJQ
-58,40227512;-34,58949685;542;COMO ENCASA;2015;1U;1;VIA PUBLICA;COMERCIO AMIGO;LAPRIDA;1782;;Recoleta;Comuna 2;1425;C1425EKP
-58,39430032;-34,59429198;543;COMO ENCASA;2015;1U;1;VIA PUBLICA;COMERCIO AMIGO;RIOBAMBA;1239;;Recoleta;Comuna 2;1116;C1116ABI
-58,38459531;-34,59268739;544;COMO ENCASA;2015;1U;1;VIA PUBLICA;COMERCIO AMIGO;QUINTANA, MANUEL, PRES.;2;;Retiro;Comuna 1;1014;C1014ACN
-58,37419761;-34,59968687;545;PANI MICROCENTRO;2015;1U;1;VIA PUBLICA;COMERCIO AMIGO;VIAMONTE;501;;San Nicolas;Comuna 1;1053;C1053ABK
-58,40711664;-34,57744973;546;CASA CAVIA;2015;1U;1;VIA PUBLICA;COMERCIO AMIGO;CAVIA;2985;;Palermo;Comuna 14;1425;C1425DDA
-58,44022725;-34,60869065;547;RODADOS LA ESQUINA;2015;1U;4;VIA PUBLICA;COMERCIO AMIGO;DIAZ VELEZ AV.;5201;;Caballito;Comuna 6;1405;C1405DCH
-58,43054321;-34,6058334;548;EL GRAN MOSQUITO;2015;1U;1;VIA PUBLICA;COMERCIO AMIGO;PERON, JUAN DOMINGO, TTE. GENERAL;4499;;Almagro;Comuna 5;1199;C1199ABG
-58,49663885;-34,61822081;549;CAFFERÃA COFEE SHOP;2015;1U;1;VIA PUBLICA;COMERCIO AMIGO;MERCEDES;0;GONZALEZ, ELPIDIO;Monte Castro;Comuna 10;;
-58,4833013;-34,57264173;550;CROSSFIT;2015;1U;1;VIA PUBLICA;COMERCIO AMIGO;MONROE;4850;;Villa Urquiza;Comuna 12;1431;C1431CAJ
-58,43493569;-34,59072896;551;CENTRO SHIZENDO;2015;1U;1;VIA PUBLICA;COMERCIO AMIGO;THAMES;1227;;Palermo;Comuna 14;1414;C1414DCY
-58,43027976;-34,59769369;552;EMAD SEDE JUFRE;2015;1U;1;VÃŒA PUBLICA;EDIFICIO CULTURAL;JUFRE;141;;Villa Crespo;Comuna 15;1414;C1414AYC
-58,40987248;-34,60293168;553;CONVENTILLO ABASTO;2015;1U;1;VIA PUBLICA;EDIFICIO CULTURAL;ANCHORENA, TOMAS MANUEL DE, DR.;575;;Balvanera;Comuna 3;1170;C1170ACI
-58,45257984;-34,56375397;554;BIBLIOTECA LUGONES;2015;1U;1;VIA PUBLICA;EDIFICIO CULTURAL-BIBLIOTECAS;LA PAMPA;2215;;Belgrano;Comuna 13;1428;C1428EAM
-58,45031998;-34,59134238;555;BIBLIOTECA FERNANDEZ MORENO;2015;1U;1;VIA PUBLICA;EDIFICIO CULTURAL-BIBLIOTECAS;ARENAL, CONCEPCION;4206;;Chacarita;Comuna 15;1427;C1427EKR
-58,51080986;-34,59931014;556;BIBLIOTECA DEVOTO;2015;1U;1;VIA PUBLICA;EDIFICIO CULTURAL-BIBLIOTECAS;BAHIA BLANCA;4025;;Villa Devoto;Comuna 11;1419;C1419BAI
-58,42373194;-34,5813701;557;BIBLIOTECA GUIDO Y SPANO;2015;1U;1;VIA PUBLICA;EDIFICIO CULTURAL-BIBLIOTECAS;GUEMES;4601;;Palermo;Comuna 14;1425;C1425BLI
-58,43164369;-34,59395164;558;ESCUELA MOTIVARTE;2015;4U;1;VIA PUBLICA;EDIFICIO CULTURAL-EMPRESA AMIGA;MALABIA;1141;;Villa Crespo;Comuna 15;1414;C1414DLW
-58,38596408;-34,59344762;559;BIBLIOTECA GUIRALDES;2015;1U;1;VIA PUBLICA;EDIFICIO CULTURAL-BIBLIOTECAS;TALCAHUANO;1261;;Retiro;Comuna 1;1014;C1014ADA
-58,38898801;-34,59950978;560;BIBLIOTECA GALVEZ;2015;1U;1;VIA PUBLICA;EDIFICIO CULTURAL-BIBLIOTECAS;CORDOBA AV.;1558;;San Nicolas;Comuna 1;1055;C1055AAS
-58,42980618;-34,59787868;561;CASA DE LECTURA;2018;1U;4;VIA PUBLICA;Comercio Amigo;LAVALLEJA;924;;Villa Crespo;Comuna 15;1414;C1414DTT
-58,50724517;-34,56859801;562;BIBLIOTECA SAAVEDRA;2015;1U;1;VIA PUBLICA;EDIFICIO CULTURAL-BIBLIOTECAS;LARRALDE, CRISOLOGO AV.;6293;;Saavedra;Comuna 12;1431;C1431AQE
