id,nombre,dia,horario,numero,ubicacion,barrio,comuna,productos,calle,altura,calle2,direccion,observacio
147,FIAB 27,SABADO,de 8:00 a 14:00hs,27,RAVIGNANI 2000,Palermo,14,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",RAVIGNANI,2000,NA,"RAVIGNANI, EMILIO, DR. 2000",NA
149,FIAB 27,MARTES,de 8:00 a 14:00hs,27,"LOYOLA 1300, ENTRE FITZ ROY Y HUMBOLDT",Chacarita,15,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",LOYOLA,1300,NA,LOYOLA 1300,NA
152,FIAB 28,MARTES,de 8:00 a 14:00hs,28,Cantilo entre Pacheco de Melo y Av. Las Heras,Recoleta,2,NA,Cantilo,NA,Pacheco de Melo,"CANTILO y PACHECO DE MELO, JOSE ANDRES, CABA",Plaza Emilio Mitre
154,FIAB 28,JUEVES,de 8:00 a 16:00hs,28,Paraná 1200 entre Arenales y Juncal,Recoleta,2,NA,Paraná,NA,Arenales,"PARANA y ARENALES, CABA",NA
155,FIAB 28,VIERNES,de 8:00 a 14:00hs,28,Terrada 1500 entre Remedios de Escalada de San Martín y Luis Belaustegui,Villa Santa Rita,11,NA,Terrada,1500,NA,"TERRADA 1500, CABA",NA
156,FIAB 28,SABADO,de 8:00 a 14:00hs,28,Cantilo entre Pacheco de Melo y Av. Las Heras,Recoleta,2,NA,Cantilo,NA,Pacheco de Melo,"CANTILO y PACHECO DE MELO, JOSE ANDRES, CABA",BA Market - Plaza Emilio Mitre
157,FIAB 29,DOMINGO,de 8:00 a 14:00hs,29,Av. de Mayo entre Luis Sáenz Peña y Rivadavia,San Nicolas,1,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",Av. de Mayo,NA,Rivadavia,DE MAYO AV. y RIVADAVIA AV.,NA
158,FIAB 29,SABADO,de 8:00 a 14:00hs,29,Virrey Arredondo 3500 entre Delgado y Av. Álvarez Thomas,Colegiales,13,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",Virrey Arredondo,3500,NA,"ARREDONDO, VIRREY 3500, CABA",Suspendida momentáneamente.
160,FIAB 29,VIERNES,de 8:00 a 14:00hs,29,Gallo 600,Almagro,5,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",Gallo,600,NA,GALLO 600,NA
161,FIAB 29,MIERCOLES,de 8:00 a 14:00hs,29,Gallo 600 -entre Guardia Vieja y Lavalle,Almagro,5,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",Gallo,600,NA,GALLO 600,NA
162,FIAB 29,JUEVES,de 8:00 a 14:00hs,29,Av. Independencia 4200 al 4300 – Pasaje Saara Vaadmonde,Boedo,5,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",Av. Independencia,4200,NA,"INDEPENDENCIA AV. 4200, CABA",NA
163,FIAB 7,JUEVES,de 8:00 a 14:00hs,7,Habana 3000 entre Helguera y Argerich,Villa Pueyrredon,12,"Frutihorticolas, pescadería, especies y legumbres, granja y carne, fiambres y lácteos, limpieza",Habana,3000,NA,"HABANA 3000, CABA",Plaza Martín Rodríguez
171,FIAB 30,MIERCOLES,de 10:00 a 19:00hs,30,Virrey Vértiz y Juramento,Belgrano,13,NA,Virrey Vértiz,NA,Juramento,VERTIZ VIRREY AV. y JURAMENTO,Estación Central - Sabe La Tierra
172,FIAB 31,JUEVES,de 15:00 a 21hs,31,Bullrich entre Santa Fe y Cerviño,Palermo,14,NA,Bullrich,NA,Santa FE,"BULLRICH, INT. AV. y SANTA FE AV.",NA
173,FIAB 31,LUNES,de 15:00 a 21:00hs,31,Juan D'Arienzo entre Artigas y Obispo San Alberto - Est. Villa Pueyrredón,Villa Pueyrredon,12,NA,D'arienzo,NA,Artigas,"D'ARIENZO JUAN y ARTIGAS, JOSE GERVASIO, GRAL.",NA
174,FIAB 30,SABADO,de 10:00 a 19:00hs,30,Isabel La Católica 500 y Pinzón,Barracas,4,NA,Isabel La Católica,NA,Pinzón,"ISABEL LA CATOLICA y PINZON, CABA",Sabe La Tierra
175,FIAB 30,DOMINGO,de 16:30 a 20:30hs,30,Av. Coronel Díaz y French,Palermo,14,NA,French,NA,Cnel Díaz,"FRENCH y DIAZ, CNEL. AV.",Parque Las Heras - Sabe La Tierra
176,FIAB 31,MARTES,de 15:00 a 21:00hs,31,Centro de Transbordo Pacifico: Int. Bullrich y Cerviño,Palermo,14,NA,Bullrich,NA,Cerviño,"BULLRICH, INT. AV. y CERVIÑO AV.",NA
177,FIAB 31,VIERNES,de 8:00 a 14:00hs,31,Ricardo Gutierrez entre Helguera y Pedro Lozano,Villa Del Parque,11,NA,Ricardo Gutierrez,NA,Helguera,"GUTIERREZ, RICARDO y HELGUERA",Plazoleta Jorge Williams
178,FIAB 6,MARTES,De 08:00 a 14:00 hs,6,Nazarre 2500 y Republica Plurinacional de Bolivia - Villa del Parque,Villa Del Parque,11,"Frutihorticolas, pescadería, plantas, especies y legumbres, granja y carne, fiambres y lácteos, limpieza",Nazarre,2501,NA,NAZARRE 2501,Plazoleta Porto Alegre
179,FIAB 19,MARTES,De 08:00 a 14:00hs,19,Paez entre Av. Nazca y Terrada,Flores,7,"Frutihorticolas, especies y legumbres, granja y carnes, fiambres y lácteos, limpieza",Paez,NA,Nazca,PAEZ y NAZCA AV.,NA
181,FIAB 28,MIERCOLES,De 8:00 a 14:00hs,28,Marcelo T. de Alvear entre Cerrito y Libertad,Retiro,1,NA,Marcelo T. de Alvear,NA,Libertad,"ALVEAR, MARCELO T. DE y LIBERTAD",NA
182,FIAB 4,VIERNES,De 08:00 a 14:00hs,4,11 de Septiembre entre  Olazabal y Mendoza,Belgrano,13,"Frutihorticolas, pescadería, panadería, plantas, especies y legumbres, granja y carnes, fiambres y lácteos",11 de Septiembre,NA,Olazabal,11 DE SEPTIEMBRE DE 1888 y OLAZABAL,NA
183,FIAB 7,DOMINGO,de 08:00 a 14:00hs,7,Bahia Blanca 300 y Av. Avellaneda - Floresta,Floresta,10,"Frutihorticolas, pescadería, especies y legumbres, granja y carne, fiambres y lácteos, limpieza",Bahía Blanca,301,NA,BAHIA BLANCA 301,NA
186,FIAB 38,LUNES,de 15:00 a 21:00hs,38,Av Rivadavia 4910 a 4950 en Parque Rivadavia,Caballito,6,NA,Rivadavia,4950,NA,RIVADAVIA AV. 4950,Parque Rivadavia
187,FIAB 27,LUNES,de 8:00 a 14:00hs,27,José Pedro Varela 5800 Parque Villa Real,Villa Real,10,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",JOSE P. VARELA,5800,NA,"VARELA, JOSE PEDRO 5800",Parque Villa Real
188,FIAB 11,DOMINGO,de 8:00 a 14:00hs,11,Condor 1600,Nueva Pompeya,4,NA,Condor,1600,NA,CONDOR 1600,NA
189,FIAB 9,LUNES,de 8:00 a 14:00hs,9,Doblas 1800,Parque Chacabuco,7,NA,Doblas,1800,NA,DOBLAS 1800,NA
190,FIAB 10,LUNES,de 8:00 a 14:00hs,10,Basualdo 800,Mataderos,9,NA,Basualdo,800,NA,BASUALDO 800,NA
191,FIAB 15,LUNES,de 8:00 a 14:00hs,15,Av. Piedra Buena 4900,Villa Riachuelo,8,NA,Av. Piedra Buena,4900,NA,PIEDRA BUENA AV. 4900,NA
192,FIAB 6,LUNES,de 8:00 a 14:00hs,6,Combate de San Carlos y Av. Soldado de la Frontera 5300,Villa Lugano,8,NA,Combate de San Carlos,NA,Av. Soldado de la Frontera,COMBATE DE SAN CARLOS y SOLDADO DE LA FRONTERA AV.,NA
193,FIAB 1,LUNES,de 8:00 a 14:00hs,1,Isabel La Católica 500 (Plaza Colombia),Barracas,4,NA,Isabel la católica,500,NA,ISABEL LA CATOLICA 500,Plaza colombia
194,FIAB 38,DOMINGO,de 8:00 a 14:00hs,38,Av. Rivadavia 4950 y Beauchef - Parque Rivadavia,Caballito,6,NA,Av. Rivadavia,4950,NA,"RIVADAVIA AV. 4950, CABA",BA Market - Parque Rivadavia
195,FIAB 33,DOMINGO,de 17:00 a 22:00hs,33,Virrey Cevallos e Hipólito Yrigoyen,Monserrat,1,NA,Virrey Cevallos,NA,Hipólito Yrigoyen,"CEVALLOS, VIRREY y YRIGOYEN, HIPOLITO, CABA",Plaza Congreso - Sabe La Tierra
196,FIAB 14,LUNES,de 8:00 a 14:00hs,14,Sánchez de Loria 1000 - entre Carlos Calvo y Estados Unidos.,San Cristobal,3,NA,Sanchez de Loria,1000,NA,SANCHEZ DE LORIA 1000,NA
197,FIAB 18,LUNES,de 8:00 a 14:00hs,18,Camacuá 400 - entre Directorio y Francisco Bilbao - Plaza Misericordia,Flores,7,NA,Camacuá,400,NA,CAMACUA 400,Plaza Misericordia
198,FIAB 23,LUNES,de 8:00 a 14:00hs,23,Martín Coronado 3300 al 3500 - entre Jerónimo Salguero y San Martín de Tours,Palermo,14,NA,Martín Coronado,NA,Jerónimo Salguero,"CORONADO, MARTIN y SALGUERO, JERONIMO",NA
199,FIAB 7,LUNES,de 8:00 a 14:00hs,7,Gutenberg 3700 - entre Fernández de Enciso y San Nicolás - al sur de la estación.,Villa Devoto,11,NA,Gutenberg,3700,NA,GUTENBERG 3700,al sur de la estación
