id,idecaba,nombre,linea,ramal,barrio,comuna,localidad,partido,geometry
142,107,Ituzaingó,"Sarmiento , F.C.D.F.S.",,,,Ituzaingó,Ituzaingó,POINT (-58.666178958063554 -34.65954339671195)
143,225,J. Anchorena,"Tren De La Costa , T.d.l.C.",,,,Martínez,Martínez,POINT (-58.48120807470318 -34.48903759089642)
144,220,Jeppener,"Roca , F.C.G.R.",,,,,,POINT (-58.198230452711776 -35.27760725449243)
145,85,Jorge Newbery,"Urquiza , F.C.G.U.",,,,Hurlingham,Hurlingham,POINT (-58.62102363345031 -34.58785789771755)
146,62,José C. Paz,"San Martin , F.C.G.S.M.",,,,José C. Paz,José C. Paz,POINT (-58.750348162796946 -34.5190673769404)
147,206,José Hernández,"Roca , F.C.G.R.",,,,José Hernández,José Hernández,POINT (-58.01868558170275 -34.907086945864535)
148,129,José Ingenieros,"Belgrano Sur , F.C.G.B.",,,,Ciudad Evita,Ciudad Evita,POINT (-58.53723821158177 -34.710781713143405)
149,287,José León Suárez,"Mitre , F.C.G.B.M.",,,,General San Martín,General San Martín,POINT (-58.576341850999086 -34.53461683336524)
150,87,José María Bosch,"Urquiza , F.C.G.U.",,,,Caseros,Caseros,POINT (-58.57184475842205 -34.590014406986846)
151,155,José Mármol,"Roca , F.C.G.R.",,,,José Mármol,José Mármol,POINT (-58.38104149183471 -34.791962260976355)
152,88,Juan B. de La Salle,"Urquiza , F.C.G.U.",,,,William C. Morris,William C. Morris,POINT (-58.64557277530775 -34.573301954263684)
153,283,Juan B. Justo,"Mitre , F.C.G.B.M.",,,,Florida,Florida,POINT (-58.494661751648906 -34.542541806077764)
154,166,Juan María Gutiérrez,"Roca , F.C.G.R.",,,,Juan María Gutiérrez,Juan María Gutiérrez,POINT (-58.18563692012601 -34.83401133075076)
155,167,Juan Vucetich,"Roca , F.C.G.R.",,,,Pereyra,Pereyra,POINT (-58.14557446109784 -34.843854044523304)
156,23,Juan Vucetich,"Urquiza , F.C.G.U.",,,,José C. Paz,José C. Paz,POINT (-58.7999488664697 -34.507209930534216)
157,16,Juan XXIII,"Roca , F.C.G.R.",,,,Lomas de Zamora,Lomas de Zamora,POINT (-58.44414675278911 -34.77132189212158)
158,132,Justo Villegas,"Belgrano Sur , F.C.G.B.",,,,Ciudad Evita,Ciudad Evita,POINT (-58.551894462651134 -34.7089965079048)
159,195,Kilómetro 12,"Belgrano Sur , F.C.G.B.",,,,Aldo Bonzi,Aldo Bonzi,POINT (-58.50599867309804 -34.71002084614939)
160,244,Km 34,"Roca , F.C.G.R.",,,,Ingeniero Budge,Ingeniero Budge,POINT (-58.46480036782784 -34.74373949916018)
161,1,"Km 34,5","Sarmiento , F.C.D.F.S.",,,,Merlo,Merlo,POINT (-58.76021031818555 -34.68014032187272)
162,115,La Fraternidad,"Sarmiento , F.C.D.F.S.",,,,General Rodríguez,General Rodríguez,POINT (-58.997778359725 -34.59843837524884)
163,259,La Lucila,"Mitre , F.C.G.B.M.",,,,La Lucila,La Lucila,POINT (-58.48834803937373 -34.49767969458047)
164,222,La Noria,"Roca , F.C.G.R.",,,,Cañuelas,Cañuelas,POINT (-58.78812068860606 -35.16523583085291)
165,32,La Plata,"Roca , F.C.G.R.",,,,La Plata,La Plata,POINT (-57.95039490158763 -34.903680641932084)
166,181,La Plata - FCPBA,"Roca , F.C.G.R.",,,,La Plata,La Plata,POINT (-57.938200538620464 -34.940218679575324)
167,116,La Reja,"Sarmiento , F.C.D.F.S.",,,,La Reja,La Reja,POINT (-58.8283168423995 -34.63978869922353)
168,189,La Tablada,"Roca , F.C.G.R.",,,,La Tablada,La Tablada,POINT (-58.52810899773472 -34.693003649982906)
169,139,Laferrere,"Belgrano Sur , F.C.G.B.",,,,Gregorio de Laferrere,Gregorio de Laferrere,POINT (-58.58451371429797 -34.75080782750573)
170,145,Lanús,"Roca , F.C.G.R.",,,,Lanús Este,Lanús Este,POINT (-58.39056696297573 -34.707389335607)
171,6,Las Barrancas,"Tren De La Costa , T.d.l.C.",,,,Acassuso,Acassuso,POINT (-58.49309834059667 -34.47238115890088)
